Date,Clicks,Impressions,CTR,Position
2023-01-02,118,10879,1.08%,34.08
2023-01-01,93,11313,0.82%,36.48
2022-12-31,77,9121,0.84%,35.89
2022-12-30,133,11658,1.14%,33.57
2022-12-29,190,12989,1.46%,30.11
2022-12-28,203,12828,1.58%,28.98
2022-12-27,274,17654,1.55%,26.78
2022-12-26,238,17546,1.36%,32.73
2022-12-25,161,15805,1.02%,34.47
2022-12-24,142,9568,1.48%,30.52
2022-12-23,205,11821,1.73%,29.70
2022-12-22,289,15890,1.82%,28.59
2022-12-21,270,15168,1.78%,29.79
2022-12-20,358,16018,2.23%,28.64
2022-12-19,288,15008,1.92%,31.17
2022-12-18,230,14644,1.57%,33.59
2022-12-17,174,9350,1.86%,27.76
2022-12-16,227,12192,1.86%,29.28
2022-12-15,254,15896,1.60%,31.75
2022-12-14,295,17854,1.65%,32.54
2022-12-13,286,14757,1.94%,28.22
2022-12-12,307,15928,1.93%,29.65
2022-12-11,261,14654,1.78%,33.49
2022-12-10,195,9735,2.00%,29.94
2022-12-09,209,12357,1.69%,28.90
2022-12-08,293,13756,2.13%,28.02
2022-12-07,296,15125,1.96%,28.08
2022-12-06,273,14930,1.83%,29.32
2022-12-05,324,17497,1.85%,29.62
2022-12-04,333,17137,1.94%,35.31
2022-12-03,198,10499,1.89%,30.16
2022-12-02,256,13566,1.89%,31.46
2022-12-01,307,15159,2.03%,29.31
2022-11-30,281,17993,1.56%,31.88
2022-11-29,332,18774,1.77%,27.71
2022-11-28,325,20057,1.62%,28.58
2022-11-27,238,19889,1.20%,32.81
2022-11-26,181,11215,1.61%,29.39
2022-11-25,254,13251,1.92%,26.68
2022-11-24,324,15799,2.05%,26.32
2022-11-23,330,14989,2.20%,30.75
2022-11-22,328,16174,2.03%,29.39
2022-11-21,346,16799,2.06%,28.00
2022-11-20,262,17071,1.53%,33.16
2022-11-19,183,12079,1.52%,32.35
2022-11-18,247,14117,1.75%,31.59
2022-11-17,318,17674,1.80%,30.17
2022-11-16,325,15523,2.09%,28.78
2022-11-15,335,14720,2.28%,27.93
2022-11-14,335,22116,1.51%,30.42
2022-11-13,241,15911,1.51%,31.20
2022-11-12,166,10264,1.62%,28.29
2022-11-11,237,12737,1.86%,27.61
2022-11-10,295,15346,1.92%,28.60
2022-11-09,307,16301,1.88%,29.79
2022-11-08,338,17523,1.93%,26.95
2022-11-07,333,15629,2.13%,28.33
2022-11-06,232,16314,1.42%,31.52
2022-11-05,160,10065,1.59%,26.35
2022-11-04,152,11442,1.33%,26.76
2022-11-03,251,14338,1.75%,27.85
2022-11-02,309,15007,2.06%,25.31
2022-11-01,314,17383,1.81%,26.31
2022-10-31,313,20939,1.49%,28.67
2022-10-30,210,16014,1.31%,31.41
2022-10-29,171,9667,1.77%,27.44
2022-10-28,241,15055,1.60%,24.91
2022-10-27,302,15514,1.95%,26.08
2022-10-26,316,14512,2.18%,26.59
2022-10-25,310,13838,2.24%,26.03
2022-10-24,287,14827,1.94%,31.08
2022-10-23,202,14667,1.38%,33.72
