Date,Clicks,Impressions,Position
2023-01-02,118,10879,34.08
2023-01-01,93,11313,36.48
2022-12-31,77,9121,35.89
2022-12-30,133,11658,33.57
2022-12-29,190,12989,30.11
2022-12-28,203,12828,28.98
2022-12-27,274,17654,26.78
2022-12-26,238,17546,32.73
2022-12-25,161,15805,34.47
2022-12-24,142,9568,30.52
2022-12-23,205,11821,29.70
2022-12-22,289,15890,28.59
2022-12-21,270,15168,29.79
2022-12-20,358,16018,28.64
2022-12-19,288,15008,31.17
2022-12-18,230,14644,33.59
2022-12-17,174,9350,27.76
2022-12-16,227,12192,29.28
2022-12-15,254,15896,31.75
2022-12-14,295,17854,32.54
2022-12-13,286,14757,28.22
2022-12-12,307,15928,29.65
2022-12-11,261,14654,33.49
2022-12-10,195,9735,29.94
2022-12-09,209,12357,28.90
2022-12-08,293,13756,28.02
2022-12-07,296,15125,28.08
2022-12-06,273,14930,29.32
2022-12-05,324,17497,29.62
2022-12-04,333,17137,35.31
2022-12-03,198,10499,30.16
2022-12-02,256,13566,31.46
2022-12-01,307,15159,29.31
2022-11-30,281,17993,31.88
2022-11-29,332,18774,27.71
2022-11-28,325,20057,28.58
2022-11-27,238,19889,32.81
2022-11-26,181,11215,29.39
2022-11-25,254,13251,26.68
2022-11-24,324,15799,26.32
2022-11-23,330,14989,30.75
2022-11-22,328,16174,29.39
2022-11-21,346,16799,28.00
2022-11-20,262,17071,33.16
2022-11-19,183,12079,32.35
2022-11-18,247,14117,31.59
2022-11-17,318,17674,30.17
2022-11-16,325,15523,28.78
2022-11-15,335,14720,27.93
2022-11-14,335,22116,30.42
2022-11-13,241,15911,31.20
2022-11-12,166,10264,28.29
2022-11-11,237,12737,27.61
2022-11-10,295,15346,28.60
2022-11-09,307,16301,29.79
2022-11-08,338,17523,26.95
2022-11-07,333,15629,28.33
2022-11-06,232,16314,31.52
2022-11-05,160,10065,26.35
2022-11-04,152,11442,26.76
2022-11-03,251,14338,27.85
2022-11-02,309,15007,25.31
2022-11-01,314,17383,26.31
2022-10-31,313,20939,28.67
2022-10-30,210,16014,31.41
2022-10-29,171,9667,27.44
2022-10-28,241,15055,24.91
2022-10-27,302,15514,26.08
2022-10-26,316,14512,26.59
2022-10-25,310,13838,26.03
2022-10-24,287,14827,31.08
2022-10-23,202,14667,33.72
2022-10-22,138,8961,27.32
2022-10-21,230,11884,26.77
2022-10-20,283,13676,27.31
2022-10-19,288,15067,27.43
2022-10-18,326,16809,25.43
2022-10-17,293,16451,26.90
2022-10-16,185,14479,30.60
2022-10-15,139,10784,27.51
2022-10-14,228,13556,29.99
2022-10-13,265,14527,28.58
2022-10-12,297,13359,26.34
2022-10-11,258,13709,25.38
2022-10-10,270,14834,26.18
2022-10-09,179,13496,32.53
2022-10-08,139,57700,64.00
2022-10-07,191,11628,26.91
2022-10-06,254,13963,28.09
2022-10-05,273,15317,29.01
2022-10-04,267,15535,29.62
2022-10-03,261,19469,30.55
2022-10-02,175,14667,32.43
2022-10-01,147,8813,27.35
2022-09-30,179,15801,34.07
2022-09-29,213,15284,27.88
2022-09-28,227,13988,26.06
2022-09-27,223,13180,28.39
2022-09-26,232,15169,31.83
